field,domain,numpub
Horticulture,Life Sciences,0
Human Factors and Ergonomics,Social Sciences,0
Human-Computer Interaction,Physical Sciences,17
Immunology,Life Sciences,71
Immunology and Allergy,Health Sciences,11
Industrial and Manufacturing Engineering,Physical Sciences,7
Infectious Diseases,Health Sciences,74
Information Systems,Physical Sciences,43
Information Systems and Management,Social Sciences,18
Inorganic Chemistry,Physical Sciences,4
Insect Science,Life Sciences,2
Instrumentation,Physical Sciences,12
Internal Medicine,Health Sciences,11
"Issues, ethics and legal aspects",Health Sciences,1
Language and Linguistics,Social Sciences,10
Law,Social Sciences,29
Leadership and Management,Health Sciences,0
Library and Information Sciences,Social Sciences,1
Life-span and Life-course Studies,Social Sciences,1
Linguistics and Language,Social Sciences,6
Literature and Literary Theory,Social Sciences,19
Management Information Systems,Social Sciences,36
Management Science and Operations Research,Social Sciences,36
Management of Technology and Innovation,Social Sciences,11
"Management, Monitoring, Policy and Law",Physical Sciences,15
Marketing,Social Sciences,15
Materials Chemistry,Physical Sciences,81
Mathematical Physics,Physical Sciences,13
Mechanical Engineering,Physical Sciences,41
Mechanics of Materials,Physical Sciences,16
Media Technology,Physical Sciences,19
Medical Laboratory Technology,Health Sciences,2
Medical Terminology,Health Sciences,0
Metals and Alloys,Physical Sciences,3
Microbiology,Health Sciences,14
Modeling and Simulation,Physical Sciences,9
Molecular Biology,Life Sciences,296
Molecular Medicine,Life Sciences,11
Museology,Social Sciences,4
Music,Social Sciences,2
Nature and Landscape Conservation,Physical Sciences,7
Nephrology,Health Sciences,25
Neurology,Health Sciences,39
Neuropsychology and Physiological Psychology,Social Sciences,2
Nuclear and High Energy Physics,Physical Sciences,42
Numerical Analysis,Physical Sciences,0
Nutrition and Dietetics,Health Sciences,25
Obstetrics and Gynecology,Health Sciences,18
Occupational Therapy,Health Sciences,5
Ocean Engineering,Physical Sciences,8
Oceanography,Physical Sciences,12
Oncology,Health Sciences,126
Ophthalmology,Health Sciences,16
Oral Surgery,Health Sciences,1
Organic Chemistry,Physical Sciences,26
Organizational Behavior and Human Resource Management,Social Sciences,15
Orthodontics,Health Sciences,0
Orthopedics and Sports Medicine,Health Sciences,18
Otorhinolaryngology,Health Sciences,8
Paleontology,Physical Sciences,2
Parasitology,Life Sciences,8
Pathology and Forensic Medicine,Health Sciences,67
"Pediatrics, Perinatology and Child Health",Health Sciences,50
Periodontics,Health Sciences,1
Pharmaceutical Science,Life Sciences,2
Pharmacology,Health Sciences,5
Pharmacy,Health Sciences,10
Philosophy,Social Sciences,21
"Physical Therapy, Sports Therapy and Rehabilitation",Health Sciences,2
Physical and Theoretical Chemistry,Physical Sciences,3
Physiology,Health Sciences,2
Plant Science,Life Sciences,31
Political Science and International Relations,Social Sciences,92
Pollution,Physical Sciences,6
Polymers and Plastics,Physical Sciences,7
Process Chemistry and Technology,Physical Sciences,1
Psychiatry and Mental health,Health Sciences,66
Public Administration,Social Sciences,2
"Public Health, Environmental and Occupational Health",Health Sciences,124
Pulmonary and Respiratory Medicine,Health Sciences,184
Radiation,Physical Sciences,7
Radiological and Ultrasound Technology,Health Sciences,2
"Radiology, Nuclear Medicine and Imaging",Health Sciences,88
Rehabilitation,Health Sciences,7
Religious studies,Social Sciences,3
"Renewable Energy, Sustainability and the Environment",Physical Sciences,12
Reproductive Medicine,Health Sciences,24
Research and Theory,Health Sciences,0
Rheumatology,Health Sciences,26
Safety Research,Social Sciences,51
"Safety, Risk, Reliability and Quality",Physical Sciences,6
Sensory Systems,Life Sciences,8
Signal Processing,Physical Sciences,12
Small Animals,Health Sciences,1
Social Psychology,Social Sciences,74
Sociology and Political Science,Social Sciences,164
Software,Physical Sciences,7
Soil Science,Life Sciences,2
Space and Planetary Science,Physical Sciences,1
Spectroscopy,Physical Sciences,19
Speech and Hearing,Health Sciences,10
Statistical and Nonlinear Physics,Physical Sciences,23
Statistics and Probability,Physical Sciences,29
"Statistics, Probability and Uncertainty",Social Sciences,14
Strategy and Management,Social Sciences,29
Structural Biology,Life Sciences,3
"Surfaces, Coatings and Films",Physical Sciences,1
Surgery,Health Sciences,282
Theoretical Computer Science,Physical Sciences,1
"Tourism, Leisure and Hospitality Management",Social Sciences,0
Toxicology,Life Sciences,1
Transplantation,Health Sciences,6
Transportation,Social Sciences,4
Urban Studies,Social Sciences,8
Urology,Health Sciences,4
Virology,Life Sciences,4
Visual Arts and Performing Arts,Social Sciences,4
Water Science and Technology,Physical Sciences,11
